device,backbone,precision,batch_size,mode,repeats,throughput_img_s,throughput_img_s_min,throughput_img_s_max,throughput_img_s_spread_pct,latency_ms_p50,latency_ms_p50_min,latency_ms_p50_max,latency_ms_p50_spread_pct,latency_ms_p95,latency_ms_p95_min,latency_ms_p95_max,latency_ms_p95_spread_pct,power_mean_w,power_mean_w_min,power_mean_w_max,power_mean_w_spread_pct,energy_j_per_image,energy_j_per_image_min,energy_j_per_image_max,energy_j_per_image_spread_pct,energy_j_per_image_above_idle,energy_j_per_image_above_idle_min,energy_j_per_image_above_idle_max,energy_j_per_image_above_idle_spread_pct
cpu,convnext_tiny,fp32,1,end_to_end,3,15.79,15.34,15.93,3.74,61.421,60.75,62.885,3.48,82.503,81.163,85.443,5.19,13.708,13.628,13.713,0.62,0.8671,0.8591,0.887,3.22,0.5592,0.5543,0.5703,2.86
cpu,convnext_tiny,fp32,1,inference_only,3,17.4,16.54,17.41,5.0,56.803,55.081,59.843,8.38,77.904,75.85,78.543,3.46,14.539,14.509,14.615,0.73,0.8313,0.8298,0.8817,6.24,0.5546,0.5534,0.5885,6.33
cpu,convnext_tiny,fp32,8,inference_only,3,33.36,33.05,33.43,1.14,237.729,237.222,238.213,0.42,263.03,251.862,272.811,7.96,14.388,14.377,14.436,0.41,0.4289,0.4282,0.4354,1.68,0.2847,0.2844,0.2891,1.65
cpu,convnext_tiny,fp32,32,inference_only,3,39.38,39.16,39.82,1.68,817.597,807.083,828.473,2.62,833.623,830.455,839.965,1.14,13.89,13.855,14.238,2.76,0.3518,0.3503,0.3561,1.65,0.2301,0.2279,0.235,3.09
cpu,resnet50,fp32,1,end_to_end,3,12.43,12.39,12.49,0.8,78.493,78.319,78.64,0.41,101.888,101.1,104.354,3.19,13.815,13.739,13.861,0.88,1.1081,1.1037,1.1124,0.79,0.7187,0.7125,0.721,1.18
cpu,resnet50,fp32,1,inference_only,3,13.4,13.16,13.64,3.58,71.069,70.269,71.835,2.2,96.776,94.702,102.715,8.28,15.912,15.501,16.359,5.39,1.1957,1.1539,1.2058,4.34,0.8381,0.7923,0.8412,5.83
cpu,resnet50,fp32,8,inference_only,3,28.93,27.85,29.06,4.18,276.885,276.802,281.562,1.72,292.206,290.829,332.532,14.27,15.183,15.085,15.326,1.59,0.5251,0.5219,0.5379,3.05,0.3594,0.3561,0.3664,2.87
cpu,resnet50,fp32,32,inference_only,3,35.47,35.35,35.54,0.54,907.528,896.771,914.418,1.94,928.137,926.018,937.495,1.24,14.75,14.652,14.901,1.69,0.4139,0.4108,0.4181,1.76,0.2777,0.2754,0.2834,2.88
cpu,vit_b_16,fp32,1,end_to_end,3,8.07,7.9,8.09,2.35,122.092,121.996,122.714,0.59,147.151,138.935,157.369,12.53,13.54,13.514,13.577,0.47,1.6814,1.6732,1.7097,2.17,1.0779,1.0705,1.0928,2.07
cpu,vit_b_16,fp32,1,inference_only,3,8.2,8.2,8.21,0.12,118.807,118.195,120.849,2.23,144.581,138.753,155.533,11.61,13.88,13.815,13.909,0.68,1.6907,1.6804,1.6947,0.85,1.0972,1.0884,1.1009,1.14
cpu,vit_b_16,fp32,8,inference_only,3,12.34,12.23,12.47,1.94,645.818,641.792,651.555,1.51,665.286,663.888,679.233,2.31,13.625,13.619,13.731,0.82,1.1019,1.0884,1.122,3.05,0.7083,0.7004,0.7238,3.3
cpu,vit_b_16,fp32,32,inference_only,3,14.88,14.82,14.89,0.47,2154.528,2130.959,2160.415,1.37,2183.098,2166.106,2201.796,1.63,13.799,13.752,13.838,0.62,0.9266,0.9227,0.9291,0.69,0.6016,0.5957,0.6018,1.01
cuda,convnext_tiny,bf16,1,end_to_end,3,477.15,473.28,508.87,7.46,2.004,1.926,2.028,5.09,2.786,2.47,2.806,12.06,51.182,46.843,52.056,10.19,0.1066,0.0908,0.1078,15.95,0.0978,0.0825,0.0989,16.77
cuda,convnext_tiny,bf16,1,inference_only,3,618.86,618.79,623.31,0.73,1.609,1.597,1.609,0.75,1.619,1.607,1.62,0.8,56.562,56.511,57.964,2.57,0.0912,0.0903,0.0916,1.43,0.0835,0.0834,0.0852,2.16
cuda,convnext_tiny,bf16,8,end_to_end,3,1371.78,1359.24,1381.0,1.59,5.086,5.063,5.117,1.06,5.975,5.785,6.024,4.0,62.877,62.711,62.905,0.31,0.0453,0.0453,0.0462,1.99,0.0422,0.042,0.0427,1.66
cuda,convnext_tiny,bf16,8,inference_only,3,1679.75,1647.62,1680.7,1.97,4.737,4.728,4.805,1.63,4.794,4.767,5.286,10.83,70.457,69.689,71.46,2.51,0.0419,0.0416,0.042,0.95,0.0393,0.039,0.0396,1.53
cuda,convnext_tiny,bf16,32,end_to_end,3,1337.68,1325.8,1359.22,2.5,20.011,19.871,20.072,1.0,23.266,22.998,23.808,3.48,58.865,57.993,60.078,3.54,0.0434,0.0431,0.0435,0.92,0.0404,0.0401,0.0406,1.24
cuda,convnext_tiny,bf16,32,inference_only,3,1712.9,1701.42,1725.28,1.39,18.526,18.381,18.574,1.04,19.14,19.028,19.293,1.38,67.723,67.567,67.813,0.36,0.0389,0.0386,0.0393,1.8,0.0366,0.0364,0.037,1.64
cuda,convnext_tiny,fp16,1,end_to_end,3,496.47,472.43,498.59,5.27,1.903,1.899,1.992,4.89,2.825,2.768,2.843,2.65,52.346,52.27,53.055,1.5,0.105,0.1041,0.1091,4.76,0.0966,0.0956,0.1003,4.87
cuda,convnext_tiny,fp16,1,inference_only,3,629.47,628.33,630.83,0.4,1.582,1.577,1.585,0.51,1.593,1.587,1.594,0.44,57.602,57.255,58.238,1.71,0.0914,0.0906,0.0916,1.09,0.0839,0.083,0.0848,2.15
cuda,convnext_tiny,fp16,8,end_to_end,3,1370.45,1341.29,1396.63,4.04,5.096,5.056,5.128,1.41,5.807,5.76,6.036,4.75,62.457,61.647,63.022,2.2,0.0452,0.0447,0.0457,2.21,0.042,0.0416,0.0423,1.67
cuda,convnext_tiny,fp16,8,inference_only,3,1653.27,1641.19,1665.5,1.47,4.777,4.727,4.828,2.11,5.373,5.16,5.386,4.21,71.893,71.516,72.253,1.03,0.0432,0.0425,0.0433,1.85,0.0406,0.0402,0.0408,1.48
cuda,convnext_tiny,fp16,32,end_to_end,3,1325.85,1311.85,1327.45,1.18,20.045,19.766,20.097,1.65,23.542,22.639,23.968,5.65,58.81,58.394,59.534,1.94,0.0444,0.0437,0.0447,2.25,0.0411,0.0403,0.0412,2.19
cuda,convnext_tiny,fp16,32,inference_only,3,1679.6,1673.84,1693.03,1.14,18.785,18.637,18.92,1.51,19.56,19.409,19.713,1.55,68.834,68.691,69.061,0.54,0.0404,0.0403,0.0406,0.74,0.038,0.0379,0.0382,0.79
